"","Scenario_ID","Year","WeeksPerYr","HrsPerWeek","CI05","CI25","MeanHrs","CI75","CI95","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","BasicModel",2021,48,32,5632.00333333334,5674.55000000002,5718.95000000001,5780.2,5780.65333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"2","BasicModel",2022,48,32,5801.11333333335,5803.76666666667,5855.46000000001,5859.30000000002,5953.74000000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"3","BasicModel",2023,48,32,5887.58666666668,5890.26666666667,5936.17666666668,5926.85000000001,6026.55666666668,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"4","BasicModel",2024,48,32,5919.18,6019.50000000001,6041.97333333334,6056.93333333335,6161.44000000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"5","BasicModel",2025,48,32,6175.40666666667,6205.63333333335,6305.12666666668,6312.83333333335,6496.07333333335,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"6","BasicModel",2026,48,32,6143.03000000001,6216.61666666666,6294.73333333334,6335.65000000002,6462.62333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"7","BasicModel",2027,48,32,6138.00000000001,6209.20000000001,6330.69000000001,6504.10000000001,6526.34000000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"8","BasicModel",2028,48,32,6071.83000000001,6235.95000000001,6369.09333333335,6527.28333333334,6596.24333333335,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"9","BasicModel",2029,48,32,6085.11666666668,6345.11666666669,6472.75666666668,6685.36666666669,6705.35333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"10","BasicModel",2030,48,32,6364.29000000001,6622.91666666668,6727.82000000001,6907.80000000002,6919.05333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"11","BasicModel",2031,48,32,6401.09333333334,6711.33333333335,6796.66000000001,7027.35000000001,7029.69666666668,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"12","BasicModel",2032,48,32,6447.05000000002,6750.38333333334,6820.73333333334,7088.28333333334,7106.91,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"13","BasicModel",2033,48,32,6560.02666666669,6875.86666666669,6884.93333333335,7075.16666666668,7094.71333333335,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"14","BasicModel",2034,48,32,6604.50333333334,6955.44999999998,6920.34666666667,7042.96666666666,7106.75333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"15","BasicModel",2035,48,32,6620.97333333335,7006.06666666669,6974.80000000001,7114.78333333335,7138.05000000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"16","ComprehensiveModel",2021,48,32,6800.37,6897.25000000002,6981.98000000001,7097.90000000001,7127.83333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"17","ComprehensiveModel",2022,48,32,6867.59666666667,7017.25000000002,7111.76666666668,7280.40000000001,7306.94666666668,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"18","ComprehensiveModel",2023,48,32,7017.14666666667,7176.60000000002,7209.03000000001,7289.05000000001,7389.22333333335,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"19","ComprehensiveModel",2024,48,32,7127.46000000001,7240.83333333335,7297.63,7388.08333333331,7422.71000000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
